campaign_id,bank_name,campaign_name,campaign_category,source_group,source_url,start_date,end_date,current_status,listing_status,fetch_status,comparison_eligible,classification_confidence,classification_reason,first_seen_at,last_seen_at,last_checked_at,finance_type,profit_share_rate_min,profit_share_rate_max,financing_amount_min,financing_amount_max,maturity_min_months,maturity_max_months,installment_count,allocation_fee_amount,allocation_fee_rate,allocation_fee_status,expense_status,expense_details,campaign_advantage,grace_period_months
13,Albaraka Türk,DASK Sigortasında Worldpuan Fırsatı!,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/dask-sigortasinda-worldpuan-firsati-2_1,2026-07-01,2026-07-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-07-31T05:19:46+00:00,2026-07-31T05:19:46+00:00,,,,,,,,,,,,,,,
397,Albaraka Türk,DASK Sigortasında Worldpuan Fırsatı!,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/dask-sigortasinda-worldpuan-firsati-2-2,2026-08-01,2026-08-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-08-10T06:03:45+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
51,Albaraka Türk,Davet Nasıl Gönderilir?,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/yakinini-davet-et-kampanyasi,2024-04-14,2026-12-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
61,Albaraka Türk,Deichmann Harcamalarınızda World’e Özel 5 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/deichmann-harcamalarinizda-worlde-ozel-5-taksit-firsati,2026-05-01,2026-12-31,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
14,Albaraka Türk,Dijital Katılma Hesabı’na Özel Paylaşım Oranları!,new_customer_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/dijital-katilma-hesabina-ozel-paylasim-oranlari-10,2026-04-01,2026-12-31,active,unknown,ok,1,0.95,Yeni müşteri avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
27,Albaraka Türk,Dijitale Özel Konut ve Taşıt Finansmanı Kampanyası,finance_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/konut-ve-tasit-finansmani-kampanyasi,2026-07-31,2026-08-31,active,unknown,ok,1,0.96,Açık finansman ürünü ve somut kampanya kanıtı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,Konut ve Taşıt Finansmanı,,,,,,,,,,,,,Size özel avantajlı oranlarla konut ve taşıt finansmanında fırsat zamanı!,
62,Albaraka Türk,Dyson Harcamalarınızda World'e Özel 9 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/dyson-harcamalarinizda-worlde-ozel-9-taksit-firsati,2026-05-01,2026-06-01,expired,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
16,Albaraka Türk,Eflatun Kredi Kart ile Kozmetik Harcamalarına 200 TL\u0027ye varan Worldpuan!,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/eflatun-kredi-kart-ile-kozmetik-harcamalarina-200-tlye-varan-worldpuan,2026-01-01,2026-12-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
17,Albaraka Türk,Eflatun’lulara Tüm Banka ATM’leri Ücretsiz,other_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/eflatunlulara-tum-banka-atmleri-ucretsiz,2024-08-14,2026-07-31,active,unknown,ok,1,0.84,"Kampanya ifadesiyle tutar, oran veya dönem kanıtı bulundu.",2026-07-31T05:05:07+00:00,2026-07-31T05:19:46+00:00,2026-07-31T05:19:46+00:00,,,,,,,,,,,,,,,
19,Albaraka Türk,Emekli Promosyon 2026 | 30.000 TL\u0027ye Varan Ödül!,other_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/emekli-promosyon-kampanyasi,2026-08-01,2026-08-31,active,unknown,ok,1,0.84,"Kampanya ifadesiyle tutar, oran veya dönem kanıtı bulundu.",2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
20,Albaraka Türk,Enterprise Araç Kiralama Kampanyası,discount_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/enterprise-arac-kiralama-kampanyasi,2026-07-06,2026-12-31,active,unknown,ok,1,0.94,İndirim veya iade avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
21,Albaraka Türk,Enterprise Araç Kiralama Kampanyası | %35 İndirim!,discount_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/enterprise-arac-kiralama-kampanyasi-35-indirim,2026-07-06,2026-12-31,active,unknown,ok,1,0.94,İndirim veya iade avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-07-31T05:19:46+00:00,2026-07-31T05:19:46+00:00,,,,,,,,,,,,,,,
398,Albaraka Türk,Enterprise Araç Kiralama Kampanyası | %35 İndirim!,discount_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/enterprise-arac-kiralama-kampanyasi-35-indirim-1,2026-07-06,2026-12-31,active,unknown,ok,1,0.94,İndirim veya iade avantajı bulundu.,2026-08-10T06:03:45+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
18,Albaraka Türk,Eğitim Harcamalarınıza Vade Farksız 6 Taksit Kampanyası,card_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/egitim-kampanyasi-1,2026-07-01,2026-09-30,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
63,Albaraka Türk,Fiat Yetkili Servislerde World’e Özel 6 Taksit Fırsatı!,card_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/fiat-yetkili-servislerde-worlde-ozel-6-taksit-firsati,2026-06-01,2026-06-30,expired,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
65,Albaraka Türk,Giyim ve Kozmetik Harcamalarınızda 1.000 TL’ye varan Worldpuan!,points_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/giyim-ve-kozmetik-harcamalarinizda-1000-tlye-varan-worldpuan,2026-07-01,2026-07-31,expired,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
408,Albaraka Türk,Giyim ve Kozmetik Harcamalarınızda 1.000 TL’ye varan Worldpuan!,points_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/giyim-ve-kozmetik-harcamalarinizda-1000-tlye-varan-worldpuan_1,2026-08-01,2026-08-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-08-10T06:03:45+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
66,Albaraka Türk,Giyim ve Kozmetik Harcamalarınızda 1.500 TL’ye varan Worldpuan!,points_campaign,Albaraka World Kampanyaları,https://albaraka.com.tr/tr/world-dunyasi/detay/giyim-ve-kozmetik-harcamalarinizda-1500-tlye-varan-worldpuan,2026-06-01,2026-06-30,expired,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
