id,campaign_id,audience_type,audience_label,details,extracted_at
5929,324,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5930,324,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5931,325,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5932,325,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5936,329,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5937,329,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5939,330,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5940,330,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5947,332,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5948,332,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5941,336,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5942,336,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5944,349,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5943,350,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5945,355,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5946,355,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5952,358,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5949,359,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5950,359,new_customer,Yeni Müşteriler,,2026-08-10T13:45:46+00:00
5951,360,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5955,362,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5953,363,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5954,363,new_customer,Yeni Müşteriler,,2026-08-10T13:45:46+00:00
5956,364,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5958,366,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5957,367,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5854,392,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
5855,392,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
5856,392,new_customer,Yeni Müşteriler,,2026-08-10T13:45:46+00:00
