campaign_id,minimum_transaction_amount,maximum_transaction_amount,installment_count,installment_cost_rate,installment_cost_text,evidence_text,extracted_at
89,,,3,0.0,Vade farksız (%0),E-Ticaret Pazaryeri Satıcılarına Özel Vade Farksız 3 Taksit!,2026-08-10T13:45:46+00:00
93,,,3,0.0,Vade farksız (%0),MTV Ödemelerinizde Vade Farksız 3 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
97,,,9,,,"Sağlam Business Kart’tan Dev Kampanya 3 Ay Erteleme ve %3,49 Oranla 9 Taksit İmkanı!",2026-08-10T13:45:46+00:00
109,,,9,,,"Avantajlar Kuveyt Türk Ticari Kartlarına Özel Avantajlar Kuveyt Türk Ticari Kredi Kartlarıyla yapılacak taksitli işlemlerde aylık %3,49 oranla 9 taksite kadar vadelendirme imkanı!",2026-08-10T13:45:46+00:00
115,,,12,0.0,Vade farksız (%0),Kuveyt Türk'ten Eğitime Özel Taksitli POS Kampanyası Kampanya Tarihleri 1.07.2026 - 30.09.2026 Kampanyayı Paylaş Kuveyt Türk'ten eğitime destek!,2026-08-10T13:45:46+00:00
118,,,3,0.0,Vade farksız (%0),Diyanet Umre Finansmanı ile Vade Farksız 3 Taksit İmkanı!,2026-08-10T13:45:46+00:00
120,,,6,,,"Kampanya Tarihleri 20.01.2026 - 31.12.2026 Kampanyayı Paylaş Taksitlio’nun anlaşmalı olduğu mağazalarda yapacağınız 100.000 TL’ye kadar alışverişlerinizde 6 taksite kadar %2,99 avantajlı kar payı oranı ile alışveriş yapmanın tadını çıkarın!",2026-08-10T13:45:46+00:00
123,,,,0.0,Vade farksız (%0),Adore Mobilya'da 4.000 TL İndirim ve Vade Farksız 9 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
124,,,,0.0,Vade farksız (%0),Adore Mobilya’da Vade Farksız 9 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
127,,,2,0.0,Vade farksız (%0),Altınyıldız’da Vade Farksız 2 Taksit Fırsatı Kampanya Tarihleri 28.07.2026 - 31.12.2026 Kampanyayı Paylaş Kuveyt Türk bireysel kredi kartları ile 31 Aralık 2026 tarihine kadar Altınyıldız resmi web sitesinde yapacağınız alışverişlerinizde vade farksız 2 taksit imkanı sizi bekliyor.,2026-08-10T13:45:46+00:00
128,,,,0.0,Vade farksız (%0),Avansas’da Vade Farksız 5 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
129,,,4,,,Barçın Spor’da 4 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
130,,,,0.0,Vade farksız (%0),"Kampanya Tarihleri 1.07.2026 - 31.07.2076 Kampanyayı Paylaş Kuveyt Türk bireysel kredi kartları, 31 Temmuz 2026 tarihine kadar Bella Maison resmi web sitesi üzerinden yapacağınız taksitli alışverişlerde %25 indirim ve vade farksız 3 aya varan taksit imkanı sunuyor.",2026-08-10T13:45:46+00:00
131,,,,0.0,Vade farksız (%0),Beymen’de Vade Farksız 4 Aya Varan Taksit Fırsatı Kampanya Tarihleri 19.06.2026 - 31.12.2026 Kampanyayı Paylaş Kuveyt Türk bireysel kredi kartları ile 31 Aralık 2026’ya kadar Beymen resmi web sitesinde yapacağınız alışverişlerinizde 4 aya varan taksit imkanı sizi bekliyor.,2026-08-10T13:45:46+00:00
132,,,,0.0,Vade farksız (%0),Brandy’s Mağazalarında Vade Farksız 3 Aya Varan Taksit Fırsatı Kampanya Tarihleri 14.01.2026 - 31.12.2026 Kampanyayı Paylaş Kuveyt Türk bireysel kredi kartları ile 31 Aralık 2026 tarihine kadar Brandy’s mağazalarında yapacağınız alışverişlerinizde vade farksız 3 aya varan taksit imkanı sizi bekliyor.,2026-08-10T13:45:46+00:00
133,,,,0.0,Vade farksız (%0),"Kampanya Tarihleri 1.07.2026 - 31.07.2026 Kampanyayı Paylaş Kuveyt Türk Bireysel Kredi Kartları, 31 Temmuz 2026 tarihine kadar Civil resmi web sitesi üzerinden yapacağınız taksitli alışverişlerde %25 indirim ve vade farksız 4 aya varan taksit imkanı sunuyor.",2026-08-10T13:45:46+00:00
134,,,,0.0,Vade farksız (%0),Civil’de Vade Farksız 4 Aya Varan Taksit Fırsatı Kampanya Tarihleri 22.06.2026 - 31.12.2026 Kampanyayı Paylaş Kuveyt Türk bireysel kredi kartları ile 31 Aralık 2026 tarihine kadar Civil resmi web sitesinde yapacağınız alışverişlerinizde vade farksız 4 aya varan taksit imkanı sizi bekliyor.,2026-08-10T13:45:46+00:00
